,city_fuel_economy,engine_displacement,franchise_make,fuel_tank_volume,height,highway_fuel_economy,length,mileage,model_name,owner_count,power,savings_amount,torque,trimId,wheelbase,width,year,wheel_system_cat,wheel_system_display_cat,body_type_Sedan,engine_cylinders_I4,engine_cylinders_V6,transmission_display_8_Speed_Automatic
0,21.0,2000.0,1,15.5,65.2,28.0,179.2,41832.0,2,1.0,240,90,270,66989,105.9,84.1,2017,3,3,0,1,0,0
2,23.0,2500.0,1,15.4,66.3,32.0,178.1,102111.0,1,1.0,168,192,170,55391,105.9,81.8,2015,3,3,0,1,0,0
5,21.0,2000.0,0,16.4,65.0,26.0,176.2,26477.0,1,1.0,164,1219,151,73182,105.1,72.8,2017,2,1,0,1,0,0
6,15.0,5700.0,4,26.0,77.5,21.0,229.0,51699.0,3,1.0,395,182,410,59050,140.5,79.4,2016,0,2,0,0,0,1
7,21.0,2400.0,0,18.8,66.1,27.0,187.8,34175.0,1,1.0,185,2484,178,82622,108.9,74.4,2019,2,1,0,1,0,1
11,24.0,1400.0,0,14.0,64.8,30.0,167.6,26900.0,1,1.0,138,1321,148,68634,100.6,69.9,2017,2,1,0,1,0,0
12,22.0,2000.0,2,15.1,66.3,30.0,178.1,32468.0,1,2.0,240,428,270,57730,105.9,81.8,2016,3,3,0,1,0,0
13,25.0,2000.0,0,18.0,56.8,34.0,184.5,77055.0,3,5.0,241,1054,273,56625,111.8,79.5,2015,4,4,1,1,0,0
17,27.0,2500.0,0,18.0,57.8,39.0,191.9,83710.0,1,2.0,182,76,180,63249,109.3,72.0,2016,3,3,1,1,0,0
18,23.0,2000.0,4,15.8,56.5,33.0,182.8,45418.0,2,1.0,248,77,258,69354,110.6,80.0,2017,2,1,1,1,0,1
19,26.0,1400.0,0,14.0,66.0,31.0,167.6,3622.0,1,1.0,138,62,148,80476,100.6,69.9,2019,3,3,0,1,0,0
20,25.0,2500.0,0,18.5,59.0,34.0,188.8,40995.0,1,1.0,175,1058,174,68623,108.3,81.3,2017,2,1,1,0,0,0
21,21.0,2400.0,1,12.7,66.5,29.0,166.6,55183.0,1,1.0,180,934,175,70045,101.2,79.6,2017,0,2,0,1,0,0
22,24.0,1600.0,0,14.2,63.0,30.0,163.0,29647.0,0,1.0,130,1083,118,59779,101.2,70.9,2016,3,3,0,1,0,0
23,24.0,2000.0,1,12.4,57.8,34.0,171.7,9317.0,0,1.0,160,1561,146,73948,104.3,80.5,2018,3,3,0,1,0,0
26,30.0,1500.0,0,14.8,57.1,38.0,192.2,2158.0,1,1.0,192,0,192,88936,111.4,73.3,2020,3,3,1,1,0,0
28,16.0,3600.0,1,22.5,72.6,20.0,184.9,64742.0,3,1.0,285,194,260,67180,116.0,82.8,2016,0,2,0,0,1,0
30,18.0,3600.0,1,19.0,69.9,28.0,203.6,61138.0,3,3.0,287,1147,262,67340,121.6,90.4,2017,3,3,0,0,1,0
31,21.0,2400.0,1,12.7,66.5,29.0,166.6,46371.0,1,2.0,180,1365,175,70037,101.2,79.6,2017,0,2,0,1,0,0
32,21.0,2000.0,1,15.1,66.3,28.0,178.1,90296.0,1,2.0,240,1820,270,51334,105.9,81.8,2014,2,1,0,1,0,0
33,18.0,3600.0,0,19.0,69.9,28.0,203.8,39763.0,3,1.0,287,110,262,82290,121.6,90.4,2019,3,3,0,0,1,0
35,17.0,3700.0,1,26.0,74.8,23.0,213.2,81374.0,2,2.0,360,582,380,53055,125.9,97.0,2014,1,0,0,0,0,0
