iter	RMSE
0	5781.670121
1	5608.040342
2	5450.849576
3	5297.790287
4	5155.667803
5	5020.66718
6	4896.675885
7	4765.168301
8	4647.40005
9	4539.717103
10	4428.002016
11	4320.064327
12	4222.776701
13	4129.206772
14	4032.893263
15	3948.242927
16	3872.246162
17	3792.305337
18	3715.054263
19	3644.81532
20	3580.385543
21	3526.711078
22	3471.153383
23	3415.39362
24	3366.136107
25	3314.284276
26	3270.104857
27	3223.472417
28	3180.457776
29	3146.522655
30	3109.236562
31	3073.41598
32	3036.186851
33	3002.800731
34	2971.169825
35	2941.94399
36	2911.741699
37	2883.005913
38	2855.501985
39	2827.903998
40	2801.132242
41	2779.047609
42	2757.163091
43	2732.24566
44	2712.827318
45	2691.975774
46	2674.236618
47	2656.950173
48	2638.21352
49	2624.424967
50	2608.923182
51	2590.74164
52	2574.422871
53	2561.029784
54	2549.22204
55	2535.801818
56	2523.352866
57	2510.965832
58	2497.272237
59	2486.480996
60	2475.77627
61	2466.08394
62	2457.839986
63	2448.770706
64	2437.422016
65	2429.492661
66	2417.630972
67	2405.01615
68	2396.122724
69	2385.989477
70	2377.009028
71	2368.982968
72	2360.342779
73	2351.94459
74	2343.278157
75	2337.588321
76	2330.461882
77	2322.158943
78	2315.200266
79	2308.119779
80	2300.818415
81	2296.446492
82	2291.768688
83	2284.787152
84	2277.811674
85	2269.802914
86	2263.072426
87	2256.025157
88	2251.485105
89	2242.991132
90	2236.854148
91	2230.941773
92	2225.580121
93	2221.82338
94	2218.814114
95	2214.006036
96	2210.670502
97	2205.869748
98	2202.587555
99	2198.356785
100	2192.398667
101	2186.986352
102	2184.038976
103	2177.525312
104	2173.209565
105	2169.054387
106	2165.950126
107	2159.758324
108	2155.054747
109	2151.032524
110	2148.710914
111	2144.121433
112	2141.737978
113	2138.943604
114	2132.680601
115	2129.700755
116	2126.125331
117	2121.549359
118	2117.69319
119	2112.950847
120	2111.292572
121	2105.776187
122	2101.634315
123	2099.287591
124	2097.859496
125	2096.167489
126	2093.102017
127	2090.140084
128	2088.484269
129	2086.991398
130	2083.66159
131	2079.246571
132	2073.280376
133	2070.929467
134	2069.503342
135	2067.065909
136	2063.955627
137	2060.325913
138	2056.963482
139	2052.777625
140	2049.15567
141	2045.57839
142	2042.045311
143	2038.383415
144	2036.701972
145	2034.808818
146	2030.286102
147	2028.177243
148	2024.544268
149	2023.21783
150	2019.622031
151	2014.981936
152	2012.420609
153	2009.341369
154	2006.371357
155	2004.21861
156	2001.19188
157	1999.194219
158	1997.41
159	1993.965018
160	1991.351836
161	1988.822078
162	1986.288864
163	1983.376947
164	1980.65307
165	1977.588909
166	1975.254233
167	1971.10052
168	1968.358354
169	1967.124862
170	1965.23927
171	1963.256403
172	1959.422423
173	1957.346733
174	1955.206981
175	1953.379647
176	1952.275696
177	1950.158496
178	1949.128154
179	1945.33891
180	1943.214619
181	1941.717089
182	1938.568307
183	1936.669461
184	1935.601
185	1930.365685
186	1926.964103
187	1924.220253
188	1920.325161
189	1917.346604
190	1915.261237
191	1913.576539
192	1910.958099
193	1906.776913
194	1903.84778
195	1902.209462
196	1900.772207
197	1897.460871
198	1894.45886
199	1893.748943
200	1891.923537
201	1890.747067
202	1888.324624
203	1885.505182
204	1883.053032
205	1881.422275
206	1880.392044
207	1879.047178
208	1876.272842
209	1874.86878
210	1873.101136
211	1870.055519
212	1867.808511
213	1864.993899
214	1864.881103
215	1861.915837
216	1860.385189
217	1858.15018
218	1855.384536
219	1852.022688
220	1849.24771
