iter	Passed	Remaining
0	10	10539
1	20	9980
2	29	9766
3	38	9654
4	48	9569
5	57	9507
6	66	9492
7	78	9701
8	87	9664
9	97	9609
10	105	9521
11	115	9482
12	121	9220
13	130	9170
14	140	9201
15	150	9233
16	159	9220
17	168	9178
18	177	9173
19	186	9151
20	195	9098
21	204	9095
22	213	9065
23	222	9063
24	232	9051
25	241	9039
26	249	9000
27	253	8798
28	263	8816
29	272	8802
30	281	8795
31	289	8763
32	298	8759
33	307	8740
34	313	8652
35	323	8662
36	332	8651
37	342	8678
38	351	8656
39	360	8648
40	368	8622
41	378	8622
42	387	8621
43	396	8616
44	405	8607
45	414	8586
46	422	8566
47	432	8575
48	442	8580
49	451	8582
50	460	8565
51	463	8456
52	473	8458
53	482	8456
54	492	8459
55	501	8445
56	510	8441
57	519	8439
58	528	8434
59	538	8429
60	546	8414
61	555	8409
62	564	8398
63	573	8382
64	582	8374
65	591	8363
66	600	8356
67	609	8351
68	618	8340
69	627	8332
70	636	8327
71	645	8317
72	654	8306
73	663	8302
74	672	8298
75	682	8297
76	691	8291
77	700	8282
78	705	8223
79	714	8219
80	722	8197
81	731	8193
82	742	8198
83	751	8197
84	760	8188
85	769	8177
86	778	8166
87	787	8161
88	796	8152
89	805	8145
90	815	8147
91	824	8137
92	833	8129
93	842	8122
94	852	8117
95	861	8113
96	870	8103
97	879	8099
98	889	8091
99	898	8082
100	907	8073
101	916	8067
102	925	8061
103	935	8060
104	944	8053
105	953	8038
106	961	8028
107	970	8019
108	979	8005
109	988	8000
110	997	7989
111	1007	7984
112	1015	7972
113	1025	7967
114	1034	7957
115	1042	7947
116	1052	7941
117	1061	7932
118	1070	7923
119	1079	7916
120	1089	7911
121	1098	7903
122	1108	7903
123	1118	7900
124	1127	7891
125	1137	7891
126	1146	7881
127	1155	7873
128	1164	7865
129	1173	7855
130	1183	7847
131	1192	7841
132	1201	7830
133	1210	7823
134	1220	7818
135	1228	7805
136	1237	7795
137	1246	7784
138	1255	7776
139	1264	7764
140	1273	7758
141	1282	7750
142	1293	7750
143	1302	7741
144	1311	7733
145	1320	7726
146	1329	7714
147	1338	7703
148	1346	7691
149	1355	7681
150	1365	7674
151	1373	7663
152	1382	7651
153	1391	7643
154	1400	7633
155	1408	7622
156	1418	7615
157	1427	7606
158	1436	7596
159	1444	7585
160	1453	7574
161	1462	7567
162	1471	7555
163	1480	7546
164	1488	7534
165	1497	7521
166	1506	7513
167	1514	7502
168	1523	7492
169	1534	7491
170	1542	7479
171	1552	7471
172	1560	7461
173	1570	7453
174	1579	7444
175	1588	7435
176	1596	7424
177	1606	7418
178	1615	7408
179	1623	7396
180	1632	7388
181	1641	7379
182	1651	7371
183	1660	7362
184	1669	7356
185	1679	7348
186	1688	7338
187	1697	7329
188	1705	7319
189	1715	7312
190	1724	7302
191	1733	7296
192	1742	7287
193	1751	7275
194	1760	7268
195	1769	7260
196	1779	7251
197	1788	7242
198	1797	7234
199	1805	7223
200	1815	7216
201	1824	7208
202	1834	7200
203	1842	7190
204	1851	7180
205	1862	7178
206	1870	7166
207	1879	7157
208	1888	7148
209	1897	7138
210	1906	7130
211	1916	7123
212	1925	7114
213	1935	7109
214	1944	7099
215	1953	7089
216	1962	7082
217	1972	7076
218	1981	7066
219	1990	7058
220	1999	7049
221	2007	7035
222	2016	7027
223	2025	7018
224	2035	7010
225	2044	7001
226	2053	6992
227	2061	6981
228	2071	6973
229	2080	6965
230	2089	6956
231	2097	6944
232	2107	6936
233	2118	6933
234	2128	6928
235	2137	6921
236	2148	6916
237	2157	6906
238	2167	6900
239	2176	6893
240	2186	6885
241	2195	6878
242	2206	6874
243	2216	6866
244	2226	6860
245	2236	6853
246	2247	6850
247	2257	6846
248	2266	6837
249	2277	6831
250	2287	6826
251	2295	6812
252	2304	6804
253	2314	6798
254	2323	6788
255	2334	6785
256	2344	6778
257	2353	6769
258	2361	6755
259	2370	6747
260	2380	6739
261	2389	6732
262	2399	6723
263	2408	6713
264	2418	6706
265	2427	6697
266	2435	6686
267	2445	6678
268	2454	6670
269	2464	6664
270	2475	6658
271	2485	6652
272	2494	6643
273	2503	6633
274	2511	6622
275	2521	6615
276	2531	6606
277	2540	6596
278	2548	6585
279	2557	6577
280	2566	6567
281	2575	6558
282	2583	6545
283	2592	6536
284	2601	6527
285	2611	6518
286	2620	6509
287	2629	6500
288	2639	6493
289	2648	6484
290	2657	6474
291	2666	6465
292	2675	6455
293	2685	6448
294	2694	6439
295	2703	6430
296	2712	6421
297	2722	6413
298	2732	6405
299	2742	6399
300	2750	6388
301	2761	6382
302	2769	6371
303	2778	6361
304	2787	6351
305	2796	6341
306	2804	6331
307	2812	6319
308	2821	6309
309	2829	6298
310	2836	6285
311	2844	6273
312	2851	6258
313	2857	6243
314	2864	6229
315	2872	6217
316	2878	6201
317	2886	6190
318	2895	6181
319	2904	6171
320	2912	6161
321	2921	6152
322	2930	6142
323	2939	6133
324	2948	6124
325	2958	6115
326	2967	6106
327	2976	6097
328	2985	6088
329	2994	6079
330	3003	6069
331	3012	6061
332	3021	6051
333	3030	6042
334	3039	6032
335	3048	6024
336	3058	6017
337	3067	6007
338	3076	5998
339	3085	5989
340	3095	5983
341	3105	5974
342	3114	5965
343	3124	5958
344	3133	5949
345	3143	5941
346	3152	5931
347	3161	5922
348	3170	5914
349	3179	5905
350	3189	5897
351	3198	5887
352	3207	5878
353	3216	5869
354	3225	5859
355	3234	5851
356	3244	5843
357	3252	5833
358	3263	5826
